"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 13, 2020","237.50","237.65","237.78","234.29","45.68K","-0.06%"
"Jun 12, 2020","237.65","230.41","239.28","228.46","54.84K","3.23%"
"Jun 11, 2020","230.22","248.14","250.47","226.00","152.68K","-7.22%"
"Jun 10, 2020","248.14","243.85","250.40","242.50","71.70K","1.82%"
"Jun 09, 2020","243.71","246.60","249.85","238.49","47.85K","-1.08%"
"Jun 08, 2020","246.38","244.73","247.77","241.30","27.69K","0.67%"
"Jun 07, 2020","244.73","242.18","245.41","234.81","57.61K","1.05%"
"Jun 06, 2020","242.18","240.02","244.63","238.00","30.10K","0.90%"
"Jun 05, 2020","240.02","243.43","248.00","239.31","40.89K","-1.40%"
"Jun 04, 2020","243.43","244.83","246.53","236.19","67.03K","-0.57%"
"Jun 03, 2020","244.83","237.61","245.08","233.39","50.93K","3.04%"
"Jun 02, 2020","237.61","248.62","253.69","226.04","168.73K","-4.43%"
"Jun 01, 2020","248.62","231.53","251.54","230.50","100.20K","7.38%"
"May 31, 2020","231.53","243.70","245.30","229.93","73.02K","-4.99%"
"May 30, 2020","243.70","220.55","246.84","219.00","151.52K","10.50%"
"May 29, 2020","220.55","220.53","224.91","217.80","55.33K","0.01%"
"May 28, 2020","220.53","208.54","220.95","204.77","59.39K","5.75%"
"May 27, 2020","208.54","201.23","208.54","201.03","46.27K","3.63%"
"May 26, 2020","201.23","204.07","204.91","196.92","32.66K","-1.39%"
"May 25, 2020","204.07","199.60","205.71","198.00","31.00K","2.24%"
"May 24, 2020","199.60","206.82","210.88","199.60","74.19K","-3.49%"
"May 23, 2020","206.82","207.51","211.29","204.57","30.86K","-0.33%"
"May 22, 2020","207.51","198.54","209.25","196.28","56.29K","4.52%"
"May 21, 2020","198.54","209.63","211.47","191.70","137.60K","-5.29%"
"May 20, 2020","209.63","214.49","215.54","206.35","104.03K","-2.27%"
"May 19, 2020","214.49","214.55","215.68","209.16","54.25K","-0.03%"
"May 18, 2020","214.55","206.90","217.00","206.90","85.52K","3.70%"
"May 17, 2020","206.90","200.46","209.82","199.79","68.51K","3.21%"
"May 16, 2020","200.46","194.64","203.44","193.36","41.92K","2.99%"
"May 15, 2020","194.64","203.23","204.19","191.70","56.79K","-4.23%"
"May 14, 2020","203.23","199.83","206.00","196.02","64.42K","1.70%"
"May 13, 2020","199.83","189.77","201.19","188.46","60.66K","5.30%"
"May 12, 2020","189.77","185.59","192.37","185.57","62.65K","2.25%"
"May 11, 2020","185.59","187.71","193.53","175.73","132.29K","-1.13%"
"May 10, 2020","187.71","209.94","209.94","179.85","495.32K","-10.59%"
"May 09, 2020","209.94","211.25","214.65","208.38","53.65K","-0.66%"
"May 08, 2020","211.34","212.24","217.01","207.00","89.57K","-0.40%"
"May 07, 2020","212.19","198.40","215.13","197.17","133.20K","6.57%"
"May 06, 2020","199.11","205.32","211.00","198.33","72.60K","-3.06%"
"May 05, 2020","205.40","206.60","212.05","201.35","95.25K","-0.64%"
"May 04, 2020","206.73","209.91","210.70","195.06","130.06K","-1.51%"
"May 03, 2020","209.91","214.07","219.50","205.01","100.77K","-1.97%"
"May 02, 2020","214.12","211.67","215.23","210.42","42.87K","1.15%"
"May 01, 2020","211.69","206.39","217.50","206.34","86.67K","2.57%"
"Apr 30, 2020","206.39","215.32","226.80","202.55","226.41K","-4.14%"
"Apr 29, 2020","215.30","196.55","218.38","196.46","196.06K","9.48%"
"Apr 28, 2020","196.66","196.63","197.67","192.08","54.66K","-0.07%"
"Apr 27, 2020","196.80","197.50","198.74","189.99","96.53K","-0.33%"
"Apr 26, 2020","197.45","194.03","199.68","192.54","87.29K","1.64%"
"Apr 25, 2020","194.26","187.71","198.00","186.00","114.63K","3.51%"
"Apr 24, 2020","187.68","185.84","189.99","185.50","61.47K","0.99%"
"Apr 23, 2020","185.84","183.00","194.61","178.68","153.41K","1.55%"
"Apr 22, 2020","183.00","170.63","184.15","170.10","97.05K","7.15%"
"Apr 21, 2020","170.79","170.51","174.73","168.29","67.29K","0.12%"
"Apr 20, 2020","170.58","180.45","186.69","166.93","200.72K","-5.54%"
"Apr 19, 2020","180.59","187.87","188.73","176.82","96.34K","-3.88%"
"Apr 18, 2020","187.87","171.28","189.84","171.21","114.92K","9.69%"
"Apr 17, 2020","171.27","172.54","175.23","168.89","82.15K","-0.74%"
"Apr 16, 2020","172.54","153.00","175.29","148.64","195.43K","12.77%"
"Apr 15, 2020","153.00","158.55","161.39","152.37","60.34K","-3.49%"
"Apr 14, 2020","158.54","156.64","161.94","155.43","69.66K","1.14%"
"Apr 13, 2020","156.75","158.91","159.25","149.58","109.62K","-1.26%"
"Apr 12, 2020","158.75","158.70","165.37","155.43","78.69K","0.03%"
"Apr 11, 2020","158.70","158.10","161.50","154.37","61.84K","0.37%"
"Apr 10, 2020","158.11","170.01","170.20","152.62","544.02K","-7.00%"
"Apr 09, 2020","170.01","173.30","173.67","165.21","67.54K","-1.82%"
"Apr 08, 2020","173.16","164.90","174.60","163.78","90.25K","5.01%"
"Apr 07, 2020","164.90","171.52","176.00","162.42","169.23K","-3.85%"
"Apr 06, 2020","171.50","142.95","172.02","142.94","201.64K","19.95%"
"Apr 05, 2020","142.98","144.54","146.05","140.83","38.89K","-1.07%"
"Apr 04, 2020","144.53","141.59","146.56","139.27","46.46K","2.08%"
"Apr 03, 2020","141.58","141.80","147.00","138.01","58.04K","-0.16%"
"Apr 02, 2020","141.80","136.55","150.31","135.89","154.67K","3.84%"
"Apr 01, 2020","136.55","133.20","137.49","129.25","62.46K","2.58%"
"Mar 31, 2020","133.12","132.32","135.45","130.63","33.04K","0.66%"
"Mar 30, 2020","132.25","124.79","135.42","124.52","85.23K","6.03%"
"Mar 29, 2020","124.73","131.24","132.19","124.08","82.25K","-4.87%"
"Mar 28, 2020","131.11","130.99","133.26","125.14","102.00K","0.11%"
"Mar 27, 2020","130.97","138.93","141.92","129.71","85.36K","-5.60%"
"Mar 26, 2020","138.74","136.16","139.89","133.61","50.65K","1.90%"
"Mar 25, 2020","136.16","138.56","142.73","132.37","81.03K","-1.93%"
"Mar 24, 2020","138.84","136.45","143.70","133.09","110.67K","1.73%"
"Mar 23, 2020","136.48","122.29","138.23","119.60","168.10K","11.42%"
"Mar 22, 2020","122.49","132.84","137.21","121.03","119.17K","-7.79%"
"Mar 21, 2020","132.84","133.58","137.66","126.04","113.66K","-0.45%"
"Mar 20, 2020","133.44","136.67","152.74","116.05","354.80K","-2.24%"
"Mar 19, 2020","136.50","118.72","143.28","115.77","325.10K","15.05%"
"Mar 18, 2020","118.64","116.30","118.96","110.47","104.12K","1.99%"
"Mar 17, 2020","116.32","111.76","122.00","110.00","125.76K","4.08%"
"Mar 16, 2020","111.76","124.25","124.48","101.20","336.05K","-10.05%"
"Mar 15, 2020","124.24","123.38","134.35","121.05","153.04K","0.57%"
"Mar 14, 2020","123.54","135.23","135.54","121.77","138.84K","-8.63%"
"Mar 13, 2020","135.21","109.57","144.16","90.00","900.95K","23.45%"
"Mar 12, 2020","109.53","195.58","196.53","103.04","1.63M","-44.00%"
